"Question","Topic","Subject"
"An enclosed channel designed to carry wires cables or busbars is a Raceway          ","Electrical","Vocational"
"At least entrance of sufficient area shall be provided to give access to and egress from working space about electrical equipment","Electrical","Vocational"
"Depth of working space in front of electrical equipment shall never be less than inches but may be greater under higher voltages","Electrical","Vocational"
"A single panel or group of panel units designed for assembly in the form of a single panel that include buses automatic overcurrent devices and equipped with or without switches for the control of light heat of power is a Panelboard             ","Electrical","Vocational"
"An unintentional electrically conductive connection between an ungrounded conductor and the normally non current carrying conductors metallic enclosures raceways equipment or earth is a Ground                  Fault        ","Electrical","Vocational"
"A contact device installed at the outlet for the connection of attachment plugs such as ones found on common appliances is a Receptacle             ","Electrical","Vocational"
"Copper and aluminum wires may never be used together regardless of type of connectors used","Electrical","Vocational"
"The point of connection between the facilityies of the serving utility and the premises wiring is the Service Point        ","Electrical","Vocational"
"The underground conductors between the utility electric supply system and the service point is called the Service Lateral          ","Electrical","Vocational"
"Current in excess of rated current of the equipment or the ampacity of a conductor that may results from an overload short circuit or ground fault is considered to be Overcurrent              ","Electrical","Vocational"
"A conducting object wthrough which a direct connection to earth is established is a Grounding Electrode            ","Electrical","Vocational"
"Manufacturers must without exception provide some sort of durable marking to electrical equipment that clearly indicates the organization responsible for the product","Electrical","Vocational"
"The point on the wiring system at which current is taken to supply utilization equipment is the Outlet         ","Electrical","Vocational"
"The conductors and equipment for delivering electric energy to the wiring system of the premises served is a Service          ","Electrical","Vocational"
"The electronic circuit breaker has been the most common type found in substations","Electrical","Vocational"
"Of the types of substations that are downstream from a generating station the one closest to the generating station would be a  converter municipal","Electrical","Vocational"
"A distribution substation will typically step down the incoming voltage","Electrical","Vocational"
"Neutral conductors may be used for more than one branch circuit","Electrical","Vocational"
"Localization of an overcurrent condition to restrict outages to the circuit or equipment affected and allow the remaining circuits to continue to operate is referred to as Coordination               ","Electrical","Vocational"
"A Dead  Front means that there are no live parts exposed to the person on the operating side of the equipment","Electrical","Vocational"
"Splices that rely solely on solder be used","Electrical","Vocational"
"The largest wire gauge allowed to terminate under a terminal is AWG","Electrical","Vocational"
"The connection between the grounded circuit conductor and the the equipment grounding conduction AT THE SERVICE is the Main Bonding Jumper         ","Electrical","Vocational"
"A conductor that is not connected to ground is a Ungrounded conductor","Electrical","Vocational"
"Conductors shall be of  Copper unless specifically stated otherwise in the code","Electrical","Vocational"
"The source side of individual distribution feeder circuit breakers are connected to the wave traps in a substation","Electrical","Vocational"
"The substation ground grid protects workers and the public from  hazardous and grounded potentials","Electrical","Vocational"
"Describe the purpose of the Overload Relay assembly on a motor starter","Electrical","Vocational"
"Any load where the maximum current is expected to continue for more hours is considered to be Continuous             ","Electrical","Vocational"
"A current carrying line, when located inside the substation yard is called a grounding circuit","Electrical","Vocational"
"When carrying equipment such as a ladder in a substation, it should never be carried on the shoulder because it can extend the workers reach","Electrical","Vocational"
