Subject,Curriculum,Category,Quiz_Name,Question,#_Times_Asked,#_Times_Correct,#_Times_Incorrect, %_correct 
Biology,GCSE,GCSE Biology,Unit 1 - Theories of Evolution,Darwin's theory was not accepted at first because of objections by the...,12,12,0, 100 
Biology,GCSE,GCSE Biology,Unit 1 - Theories of Evolution,Variation which leads to new forms of organisms is caused by what?,12,10,2, 83 
Biology,GCSE,GCSE Biology,Unit 1 - Theories of Evolution,Why are there gaps in the fossil record?,12,10,2, 83 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,Vaccines consist of...,20,19,1, 95 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,Some vaccines contain...,20,18,2, 90 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,White blood cells are NOT known as...,20,10,10, 50 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,White blood cells do NOT produce...,20,12,8, 60 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,Pathogens do NOT include...,20,13,7, 65 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,Memory cells are specialised types of...,20,15,5, 75 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,"After a person has been vaccinated, antibodies are released...",20,15,5, 75 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,Immunity means resistant to...,20,12,8, 60 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,Name a type of cancer which we have a vaccination for.,20,14,6, 70 
Biology,GCSE,GCSE Biology,Unit 1 - Vaccination,Vaccines are very safe unless you are...,20,18,2, 90 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,Respiration releases...,389,354,35, 91 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,Aerobic means with...,389,342,47, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,One reactant in aerobic respiration is oxygen. What is the other?,389,342,47, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,Energy is released from which cell organelle?,389,222,167, 57 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,Name the waste gas released by aerobic respiration.,389,315,74, 81 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,Energy from respiration is NOT used for...,389,195,194, 50 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,"In plants, energy is used to convert sugars into amino acids, which are the building blocks of...",389,252,137, 65 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,"During exercise, the rate and depth of breathing...",389,355,34, 91 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,"During exercise, the heart rate increases and this causes increased blood flow to the...",389,345,44, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Aerobic Respiration,Muscles store glucose as...,389,215,174, 55 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,Anaerobic means...,12,10,2, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,"In muscles respiring anaerobically, products are carbon dioxide and...",12,12,0, 100 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,Build up of lactic acid in muscles leads to cramps and...,12,10,2, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,Blood flow away from muscles helps to...,12,11,1, 92 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,Yeast cells undergo anaerobic respiration and one product is...,12,9,3, 75 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,Oxygen has to be paid back as a result of oxygen...,12,8,4, 67 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,Name a structure which undergoes anaerobic respiration.,12,10,2, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,"During anaerobic respiration, the breakdown of glucose is...",12,9,3, 75 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,Athletes will have to use anaerobic respiration when...,12,9,3, 75 
Biology,GCSE,GCSE Biology,Unit 2 - Anaerobic Respiration,This is broken down during anaerobic respiration.,12,10,2, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,This is a diagram of an animal cell. Which of the following is NOT found in an animal cell?,23,20,3, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,This is Spirogyra which is a type of alga found in ponds. Name the green structures within the cytoplasm.,23,20,3, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,"At fertilisation, a sperm cell fuses with an egg cell. Which of these structures is never found in sperm or egg cells.",23,13,10, 57 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,These structures make sugars by the process of photosynthesis.This plant cell is packed with...,23,22,1, 96 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,This is an image of a nucleus. What is the name of the chemical found inside the nucleus which contains the genetic code?,23,23,0, 100 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,Chlostridium botulinum are dangerous and produce a toxin which can be fatal. Which type of cell are they?,23,20,3, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,Plant cells are shown in this picture. The pale blue structures are...,23,16,7, 70 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,These structures are located in all plant and animal cells and contain DNA.,23,20,3, 87 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,This is an animal cell attached to a micropipette. Mitochondria are found in all plant and animal cells and provide...,23,19,4, 83 
Biology,GCSE,GCSE Biology,Unit 2 - Cell Structure,"All cells, including the bacterial cell shown here, contain ribosomes. What is the function of ribosomes?",23,15,8, 65 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),Genotype describes...,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),Alleles are different forms of the same...,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),Phenotype is the expression of the...,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),"Using a Punnett square, predict the ratio of tall to short when Tt is crossed with Tt. The allele for tall is T and the allele for short is t.",9,6,3, 67 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),An example of a heterozygous genotype is...,9,6,3, 67 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),Homozygous means that the alleles are...,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),Use a genetic diagram to predict the outcome if Tt is crossed with tt. The ratio of Tall:short is...,9,5,4, 56 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),TT is described as...,9,5,4, 56 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),Tt is...,9,7,2, 78 
Biology,GCSE,GCSE Biology,Unit 2 - Construct Genetic Diagrams (H),'Tall' is an example of...,9,8,1, 89 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,Diffusion is the movement of particles from high concentration to...,16,15,1, 94 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,Major site for gaseous exchange in the body.,16,14,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,Diffusion is...,16,9,7, 56 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,Diffusion requires...,16,11,5, 69 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,Which of these molecules only moves by simple diffusion?,16,10,6, 63 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,"Which of these molecules is too big to diffuse through a membrane, using simple diffusion?",16,12,4, 75 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,The rate of diffusion is increased if...,16,12,4, 75 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,Diffusion is fast in the lungs because they have a huge...,16,15,1, 94 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,Active transport is where molecules use a carrier and are moved...,16,10,6, 63 
Biology,GCSE,GCSE Biology,Unit 2 - Diffusion,Diffusion happens faster if the difference in concentration is...,16,13,3, 81 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,"During exercise, the heart rate is...",17,16,1, 94 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,Blood supply to the respiring muscles increase to supply more...,17,14,3, 82 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,A waste product of muscles respiring anaerobically.,17,17,0, 100 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,The rate and depth of breathing increases during exercise in order to give the muscles more...,17,15,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,"The stored form of glucose, found in the liver and muscles.",17,14,3, 82 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,"When muscles are deprived of oxygen, they respire...",17,14,3, 82 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,"During exercise, the blood leaving the muscles has...",17,15,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,The name of the blood vessel which supplies blood to muscles.,17,13,4, 76 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,Name of the blood vessel which removes blood from the muscles.,17,14,3, 82 
Biology,GCSE,GCSE Biology,Unit 2 - Effects of Exercise,Muscles break this down in order to release energy.,17,13,4, 76 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,Enzymes are which type of molecule?,16,12,4, 75 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,The shape of an enzyme will change if this variable is increased.,16,13,3, 81 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,This enzyme converts starch into sugars in the mouth and small intestine.,16,14,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,This enzyme converts fats into 3 fatty acids and glycerol.,16,14,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,Protease enzymes are located in this organ.,16,14,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,Protease enzymes break down proteins into...,16,14,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,Isomerase enzyme is used in industry for making high fructose syrup from...,16,10,6, 63 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,This enzyme is used in industry to convert starch to glucose.,16,12,4, 75 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,This word describes the change of shape when an enzyme is heated to high temperatures.,16,14,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Enzymes,This emulsifies fats so they can be further digested by the enzyme lipase...,16,14,2, 88 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,An allele is different forms of...,23,21,2, 91 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics," In humans, genes are found in...",23,22,1, 96 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,"If the genes were Tt, this means that the alleles are...",23,21,2, 91 
Biology,GCSE,GCSE Biology,Unit 2 - Genetics,"In a recessive condition, such as cystic fibrosis, how many copies of the abnormal allele are needed for the person to be a sufferer?",23,16,7, 70 
