"Question","Topic","Subject"
"Christian Bernard Christian Bernard Christian Bernard invented Heart Transplantation","Biology",""
"Stenach Stenach Stenach invented Sex hormone","Biology",""
"Edwards and Stepto Edwards and Stepto Edwards and Stepto invented first test tube baby.","Biology",""
"Johan E. Salk Johan E. Salk Johan E. Salk invented Polio Vaccine","Biology",""
"Harrison and Sympson Harrison and Sympson Harrison and Sympson invented chloroform","Biology",""
"Luvenhauk - Leeuwenhock Luvenhauk - Leeuwenhock Luvenhauk - Leeuwenhock invented Bacteria","Biology",""
"Karl Landsteiner Karl Landsteiner Karl Landsteiner invented Blood Transfer.","Biology",""
"he poison of honey bee is Acidic Acidic Acidic","Biology",""
"Beri-Beri is caused by the lack of vitamin Vitamin B1 Vitamin B1 Vitamin B1","Biology",""
"Influenza is caused by Virus Virus Virus","Biology",""
"Quinine is extracted from the bark of Cinchona Cinchona Cinchona","Biology",""
"Milk fever in cow is caused due to the deficiency of Calcium Calcium Calcium","Biology",""
"Bronchitis is a disease of Respiratory tract Respiratory tract Respiratory tract","Biology",""
"Brain Brain Brain coordinates the functions of various organs","Biology",""
"Conjunctiva Conjunctiva Conjunctiva of eye becomes inflamed and pink when dust gets into it","Biology",""
"Musca domestica","Biology",""
