Questions,Topic,Subject 
Draw the Gantt chart and find the average waiting time for the  Priority Scheduling First algorithms,Operating Systems,
What are the conditions which may lead to deadlock? ,Operating Systems,
What are the strategies to recover from deadlock? ,Operating Systems,
What is the function of a translation look-aside buffer (TLB),Operating Systems,
What is the structure and purpose of an inverted page table?,Operating Systems,
Why are page sizes always powers of 2?,Operating Systems,
With the help of a diagram explain the steps involved in handling a page fault,Operating Systems,
Differentiate between internal and external fragmentation,Operating Systems,
"Compare the memory organization schemes of contiguous memory allocation, pure segmentation, and pure paging with respect to External fragmentation.",Operating Systems,
"Compare the memory organization schemes of contiguous memory allocation, pure segmentation, and pure paging with respect to  Internal fragmentation.",Operating Systems,
"Compare the memory organization schemes of contiguous memory allocation, pure segmentation, and pure paging with respect to  Ability to share code across processes",Operating Systems,
What is the advantage of indexed allocation of disk space?,Operating Systems,
What is an inode in UNIX? ,Operating Systems,
"Consider a file system that uses inodes to represent files. Disk blocks are 8 KB in size, and a pointer to a disk block requires 4 bytes. This file system has 12 direct disk blocks, as well as single, double, and triple indirect disk blocks. What is the maximum size of a file that can be stored in this file system?",Operating Systems,
The disk-scheduling algorithm should be written as a separate module of the operating system. Why? ,Operating Systems,
"Suppose that a disk drive has 5,000 cylinders, numbered 0 to 4,999. The drive is currently serving arequest at cylinder 2,150, and the previous request was at cylinder 1,805. The queue of pendingrequests, in FIFO order, is:2,069, 1,212, 2,296, 2,800, 544, 1,618, 356, 1,523, 4,965, 3,681 Starting from the current head position, what is the total distance (in cylinders) that the disk arm movesto satisfy all the pending requests for each of the following disk-scheduling algorithms? i) FCFS ii) SSTF iii) SCAN",Operating Systems,
Define the term Seek time,Operating Systems,
Define the term Disk bandwidth.,Operating Systems,
Define the term Rotational delay ,Operating Systems,
Explain how access matrix is used as a protection mechanism.,Operating Systems,
What is meant by clustered systems? Explain.,Operating Systems,
What is the purpose of command interpreter?,Operating Systems,
Discuss the different states of a process.,Operating Systems,
Explain Monolithic Structure of an Operating System.,Operating Systems,
Discuss any two kernal data structures,Operating Systems,
What is meant by Process Control Block? Discuss its significance,Operating Systems,
Differentiate between Medium Term Scheduler and Long Term Scheduler,Operating Systems,
Explain the System Boot Process,Operating Systems,
Differentiate between Monolithic and Micro kernel Design of OS,Operating Systems,
Briefly discuss Pipes for message passing,Operating Systems,
What is meant by Critical Section? Explain.,Operating Systems,
Discuss the wait() and signal(). ,Operating Systems,
How the busy waiting is eliminated in Semaphores?,Operating Systems,
Explain resource allocation graph with an example.,Operating Systems,
What is Dining Philosopher's Problem? Explain.,Operating Systems,
What is Readers Writers Problem? ,Operating Systems,
Schedule the process using Round Robin Scheduling Algorithm,Operating Systems,
Define the difference between Preemtive and non-preemptive scheduling,Operating Systems,
Show that if the wait and signal operations are not executed atomically then mutual exclusion may be violated.,Operating Systems,
Consider the following set of processes that arrive at time 0 with the length of the CPU burst time given in milliseconds.,Operating Systems,
Give the Gantt chart of the process using SJF Algorithm. Also find its average waiting time.,Operating Systems,
Explain how mutual exlusion is achieved for the producer and consumer processes in Bounded Buffer Problem?,Operating Systems,
"Discuss Roll out,roll in.",Operating Systems,
Discuss  External fragmentation,Operating Systems,
Discuss  50-percent rule ,Operating Systems,
"Given memory partitions of 100 KB, 500 KB, 200 KB, 300 KB, and 600 KB. How would each of the First fit Best-Fit and Worst-Fit algorithms place processes of 212 KB, 417 KB, 112 KB, and 426 KB?",Operating Systems,
Differentiate between Hashed Page Table and Inverted Page Table,Operating Systems,
Explain various file operations,Operating Systems,
Discuss Protection. ,Operating Systems,
What are the main differences between capability list and access list?,Operating Systems,
What is the purpose of interrupts? ,Operating Systems,
Mention the advantages of using loadable kernel modules?,Operating Systems,
Why is context switching considered to be an overhead to the system?,Operating Systems,
How are named pipes different from ordinary pipes?,Operating Systems,
How does an interrupt differ from a trap? ,Operating Systems,
Describe the differences between symmetric and asymmetric multiprocessing.,Operating Systems,
 What are the advantages and disadvantages of multiprocessor systems?,Operating Systems,
What do you mean by peer to peer computing?,Operating Systems,
What is a process? ,Operating Systems,
"With the help of a diagram, explain the different processstates.",Operating Systems,
What is cache coherency problem?,Operating Systems,
Why does an Operating system require dual-mode and multi-mode operations?,Operating Systems,
How is IPC using shared memory done? ,Operating Systems,
How can test and set instruction be used to ensure mutual exclusion?,Operating Systems,
How does the signal() operation associated with monitors differ from the corresponding operation defined for semaphores?,Operating Systems,
What are the functions of a dispatcher?,Operating Systems,
"With the help of a diagram, explain how a multilevel feedback queue scheduling works?",Operating Systems,
Explain how semaphores can be used to solve Readers-Writers problem.,Operating Systems,
Explain why implementing synchronization primitives by disabling interrupts is not appropriate in a single-processor system if the synchronization primitives are to be used in user-level programs.,Operating Systems,
How can indefinite blocking can be solved in priority scheduling?,Operating Systems,
Calculate the average waiting time and average turnaround time if the system uses RR Scheduling and the time slice is 4ms.,Operating Systems,
What do you mean by deadlock? ,Operating Systems,
What are the four necessary conditions for a deadlock to occur?,Operating Systems,
"With a diagram, explain how paging is done with TLB",Operating Systems,
How is protection done in paging systems?,Operating Systems,
Differentiate internal fragmentation and external fragmentation,Operating Systems,
How is swapping done? Explain with the help of a diagram,Operating Systems,
What do you mean by thrashing? How is it caused?,Operating Systems,
How is disk formatting done?,Operating Systems,
Explain sequential access and direct access methods,Operating Systems,
Explain indexed allocation method with an example diagram,Operating Systems,
What is the use of access matrix in protection mechanism,Operating Systems,
How are bad blocks in disks managed,Operating Systems,
