"Question","Topic","Subject"
"Which food group contains yogurt and cheese diary","Diet and Nutrition","Health and Medicine"
"Lack of iron can give us anaemia","Diet and Nutrition","Health and Medicine"
"Why does cooling food preserve it removes moisture","Diet and Nutrition","Health and Medicine"
"Fruits and vegetables contain fibre  which is good for you","Diet and Nutrition","Health and Medicine"
"Which food contains the most protein spinach","Diet and Nutrition","Health and Medicine"
"Researchers have proposed a link between low levels of vitamin D and food allergies","Diet and Nutrition","Health and Medicine"
"Choose the 3 nutrients the body needs to function, but don't suppy energy","Diet and Nutrition","Health and Medicine"
"Which of the following is not a grain fish","Diet and Nutrition","Health and Medicine"
"Food rich in protein helps build what Bones","Diet and Nutrition","Health and Medicine"
"What food group would peanut butter be apart of Poultry, Meats, and Nuts","Diet and Nutrition","Health and Medicine"
"Which foods help us to grow chicken, fish, milk and cheese","Diet and Nutrition","Health and Medicine"
"What food type is the body's main source of energy Calories","Diet and Nutrition","Health and Medicine"
"What is the dietary goal for the amount of daily carbohydrate, protein, and fat intake","Diet and Nutrition","Health and Medicine"
"Sugars (doughnuts, candy, etc.) are healthy snacks","Diet and Nutrition","Health and Medicine"
"Any food made from wheat, rice, oats, cornmeal, barley, or another cereal grain is in the Grains Group","Diet and Nutrition","Health and Medicine"
"Each serving for every food group is the same","Diet and Nutrition","Health and Medicine"
"Beans are a member of the proteins food group","Diet and Nutrition","Health and Medicine"
"Nutrients that help build and maintain body tissues are called protein","Diet and Nutrition","Health and Medicine"
"What is the best way to know that the bread you are buying is a whole-grain bread","Diet and Nutrition","Health and Medicine"
"How many food groups make up the Food Guide Pyramid","Diet and Nutrition","Health and Medicine"
"Which vitamin is found most abundantly in citrus fruits","Diet and Nutrition","Health and Medicine"
"Which of the following IS NOT a carbohydrate","Diet and Nutrition","Health and Medicine"
"Half of your plate should consist of which foods","Diet and Nutrition","Health and Medicine"
"The Grains Group could also be called the Carbohydrate Group because all foods that contain carbohydrates are in the Grains Group","Diet and Nutrition","Health and Medicine"
"Exercise is bodily or mental exertion, especially for the sake of training or improvement of health","Diet and Nutrition","Health and Medicine"
"A serving is the amount you would eat in three meals","Diet and Nutrition","Health and Medicine"
"Process by which the body takes in and uses food is called digestion","Diet and Nutrition","Health and Medicine"
"Bread and most cereals are part of the          grains          food group","Diet and Nutrition","Health and Medicine"
"Which of the following actions are important for eating healthy","Diet and Nutrition","Health and Medicine"
"Calcium  is the mineral in milk that helps build strong bones and prevents osteoporosis","Diet and Nutrition","Health and Medicine"
"The average daily sugar intake is of calories","Diet and Nutrition","Health and Medicine"
"The key to good health is a balanced health triangle","Diet and Nutrition","Health and Medicine"
"What are most cereals made of","Diet and Nutrition","Health and Medicine"
"The mineral that helps to regulate and maintain the balance of fluids in the body is sodium","Diet and Nutrition","Health and Medicine"
" Fat  is a nutrient that supplies the body with energy and has the most calories per gram of food","Diet and Nutrition","Health and Medicine"
"The units used to measure the amount of energy the body gets from food are called  calories  ","Diet and Nutrition","Health and Medicine"
"What percentage of your daily caloric intake should come from fats","Diet and Nutrition","Health and Medicine"
"Fiber is the type of carbohydrate that helps move food through the digestive system","Diet and Nutrition","Health and Medicine"
"If a person has weak and malformed bone what should they eat chicken and potatoes","Diet and Nutrition","Health and Medicine"
"When you work or play, your body changes the food you eat into fat","Diet and Nutrition","Health and Medicine"
"Which of these is not an environmental factor that might influence your food choices","Diet and Nutrition","Health and Medicine"
"What are the reasons that it's important to eat a well balanced diet","Diet and Nutrition","Health and Medicine"
"Which group on the food guide pyramid should you eat the least of Fat, oils, sugar","Diet and Nutrition","Health and Medicine"
"Which of the following is NOT considered a vegetable","Diet and Nutrition","Health and Medicine"
"Fruits and vegetables are rich in vitamins","Diet and Nutrition","Health and Medicine"
"What disease causes soft and weak bones","Diet and Nutrition","Health and Medicine"
"What are the things in food that your body needs for energy and growth","Diet and Nutrition","Health and Medicine"
"How many servings of vegetables should you eat daily","Diet and Nutrition","Health and Medicine"
" Vitamins are the nutrients that help your body work, grow, and fight disease. They cause specific reactions in the body","Diet and Nutrition","Health and Medicine"
"What is an example of a healthy fat","Diet and Nutrition","Health and Medicine"
"Water is the nutrient that takes other nutrients to the cells and removes the waste from cells","Diet and Nutrition","Health and Medicine"
"The 3 components to a healthy snack are","Diet and Nutrition","Health and Medicine"
"Which food would be the worst to eat if you are trying to follow the Food Guide Pyramid ice cream","Diet and Nutrition","Health and Medicine"
"If you do not drink enough water on a hot day or while exercising you could become dehydrated ","Diet and Nutrition","Health and Medicine"
"Which of the following would you find on a food label","Diet and Nutrition","Health and Medicine"
"Eating too much sugar is the leading cause for what diseases","Diet and Nutrition","Health and Medicine"
"If you eat fruits and vegetables you will get a lot of vitamins","Diet and Nutrition","Health and Medicine"
"What should you drink 6 glasses a day of water","Diet and Nutrition","Health and Medicine"
"What information can we find in nutrition fact labels","Diet and Nutrition","Health and Medicine"
"Being heavy for your height means being obesity","Diet and Nutrition","Health and Medicine"
"Substances in food that your body needs to function properly nutrients","Diet and Nutrition","Health and Medicine"
"Starches and sugar found in food are Carbohydrates","Diet and Nutrition","Health and Medicine"
"What is the important mineral for building bones and teeth and bone strength","Diet and Nutrition","Health and Medicine"
