"Question","Topic","Subject"
"Which of the following best describes carbon monoxide","Chemistry","Science"
"Solutions, suspensions, and colloids are all types of mixtures","Chemistry","Science"
"Which example shows a coefficient being used correctly to balance a chemical equation","Chemistry","Science"
"Which statement about the Law of Conservation of Mass is NOT true","Chemistry","Science"
"How many valence electrons in a neutral oxygen atom","Chemistry","Science"
"How is a molecule different from an atom","Chemistry","Science"
"What is the element symbol for oxygen","Chemistry","Science"
"What is the element symbol for iron","Chemistry","Science"
"Why does an atom have no net electric charge","Chemistry","Science"
"Carbon is the most common element in the human body","Chemistry","Science"
"Isotopes are atoms of an element","Chemistry","Science"
"A solution of two or more metals such as brass is alloy","Chemistry","Science"
"What is the sum of every chemical reaction that occurs in the body","Chemistry","Science"
"Which subatomic particle has a positive charge","Chemistry","Science"
"Acids have a relatively high pH, compared to water","Chemistry","Science"
"In which family is an element in Group 16, Period 4 found","Chemistry","Science"
"A covalent bond typically forms between what kind of elements","Chemistry","Science"
"Which is a general term attributed to a large and complex molecule","Chemistry","Science"
"Acids usually have a pH value that is greater than 7","Chemistry","Science"
"Which represents a correct electron configuration for a chlorine atom","Chemistry","Science"
"Which of the following is a type of acid-base reaction","Chemistry","Science"
"Which form of matter has a definite volume and an indefinite shape","Chemistry","Science"
"What were the last two types of elements to be added to the Periodic Table","Chemistry","Science"
"What are two or more charged atoms held together by covalent bonds called","Chemistry","Science"
"Which property classifies cholesterol as a lipid","Chemistry","Science"
"What does a line in a Lewis structure represent","Chemistry","Science"
"Which of the following correctly names the precipitate formed in the reaction below","Chemistry","Science"
"What percent of carbon monoxide is oxygen","Chemistry","Science"
"What is the molarity of 138 g NaOH dissolved in 4000 mL of water","Chemistry","Science"
"Which of the following choices states the two main types of bonds","Chemistry","Science"
"Which macromolecule has a monomer known as a monosaccharide","Chemistry","Science"
"The First Law of Thermodynamics helps you to understand the","Chemistry","Science"
"What percent of aluminum chloride is aluminum","Chemistry","Science"
"A region of space in which an electron is most likely found is called an orbital","Chemistry","Science"
"Which particles' discovery was attributed to JJ Thomson","Chemistry","Science"
"Who said that everything in the universe is made up of tiny particles called atoms","Chemistry","Science"
"What process relates to the decomposition of food in the absence of oxygen","Chemistry","Science"
"Which of the following measures of mass has 3 significant figures","Chemistry","Science"
"Which hydrocarbon would be classified as saturated and an alkane","Chemistry","Science"
"The functional group that makes a carbon chain into a lipid is an amino group","Chemistry","Science"
"What kinds of elements are found in an ionic compound","Chemistry","Science"
"Which process takes light and changes it into chemical energy that is stored","Chemistry","Science"
"Which scientist devised the planetary model of the atom","Chemistry","Science"
"Elements in a group exhibit exactly the same behavior","Chemistry","Science"
"In a chemical equation, which symbol would you use to indicate that a substance dissolves in water","Chemistry","Science"
"Milk is an example of which state of matter","Chemistry","Science"
